Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38353728,Kiertoradalla - Vuosi avaruudessa,Scott    Kelly,"Kelly, Scott","Margaret Lazarus Dean, Outi Järvinen","=""""","=""9789522794635""",4,4.21,Bazar,Hardcover,431,2018,2017,2023/01/28,2022/10/14,,,read,,,,1,0
23311648,"The Summer Tree (The Fionavar Tapestry, #1)",Guy Gavriel Kay,"Kay, Guy Gavriel",,"=""""","=""""",2,3.97,Roc,Kindle Edition,353,2001,1984,2023/01/24,2023/01/18,,,read,,,,1,0
149267,The Stand,Stephen King,"King, Stephen",Bernie Wrightson,"=""""","=""""",0,4.34,Doubleday Books,Hardcover,1152,1990,1978,,2023/01/19,to-read,to-read (#39),to-read,,,,0,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",0,4.65,Tor Books,Hardcover,1007,2010,2010,,2023/01/19,to-read,to-read (#38),to-read,,,,0,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",0,4.52,Penguin Group DAW,Hardcover,662,2007,2007,,2023/01/19,to-read,to-read (#37),to-read,,,,0,0
386162,"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,4.23,Del Rey,Paperback,193,2007,1979,,2023/01/19,to-read,to-read (#36),to-read,,,,0,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",0,4.41,Crown,Hardcover,384,2014,2011,,2023/01/19,to-read,to-read (#35),to-read,,,,0,0
33,The Lord of the Rings,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",5,4.52,Houghton Mifflin Harcourt,Paperback,1216,2005,1955,,2019/06/21,,,read,,,,2,0
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter",,"=""0765312182""","=""9780765312181""",4,4.01,Tor Books,Hardcover,384,2006,2006,2023/01/18,2020/12/30,,,read,,,,1,0
18490708,"Echopraxia (Firefall, #2)",Peter Watts,"Watts, Peter",,"=""076532802X""","=""9780765328021""",0,3.84,Tor Books,Hardcover,384,2014,2014,,2023/01/18,to-read,to-read (#34),to-read,,,,0,0
44452969,Life Changing: How Humans are Shaping the Course of Evolution,Helen Pilcher,"Pilcher, Helen",,"=""1472956710""","=""9781472956712""",4,4.31,Bloomsbury Sigma,Hardcover,383,2020,,2023/01/15,2023/01/08,,,read,,,,1,0
18043011,Clean Architecture,Robert C. Martin,"Martin, Robert C.",,"=""0134494164""","=""9780134494166""",4,4.24,Prentice Hall,Paperback,432,2017,2017,,2022/11/28,,,read,,,,1,0
7332,The Silmarillion,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Ted Nasmith","=""0618391118""","=""9780618391110""",5,3.99,Houghton Mifflin Company,Hardcover,386,2004,1977,2022/12/07,2022/11/28,,,read,,,,1,0
25812847,The Silk Roads: A New History of the World,Peter Frankopan,"Frankopan, Peter",,"=""1408839970""","=""9781408839973""",4,4.17,Bloomsbury,Hardcover,636,2015,2016,2022/11/27,2022/02/01,,,read,,,,1,0
53968566,The Viking Heart: How Scandinavians Conquered the World,Arthur Herman,"Herman, Arthur",,"=""1328595900""","=""9781328595904""",3,3.65,Mariner Books,Hardcover,512,2021,2021,2022/11/27,2022/09/27,,,read,,,,1,0
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",0,4.20,Gollancz,Paperback,515,2007,2006,,2022/10/01,to-read,to-read (#33),to-read,,,,0,0
25135194,Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics,Tim  Marshall,"Marshall, Tim",,"=""1783961414""","=""9781783961412""",0,4.20,Elliott & Thompson,Hardcover,256,2015,2015,,2022/09/24,to-read,to-read (#32),to-read,,,,0,0
62315578,"Lords of Uncreation (The Final Architecture, #3)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1668628104""","=""9781668628102""",0,4.77,Orbit,Audiobook,21,2023,2023,,2022/09/21,to-read,to-read (#31),to-read,,,,0,0
50915605,"Leviathan Falls (The Expanse, #9)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",5,4.54,Orbit,Kindle Edition,560,2021,2021,2022/09/20,2022/09/12,,,read,,,,1,0
40481287,"Tiamat's Wrath (The Expanse, #8)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",5,4.58,Orbit,Kindle Edition,544,2019,2019,2022/09/12,2022/09/04,,,read,,,,1,0
36454614,Persepolis Rising (The Expanse #7),James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.37,Orbit,Kindle Edition,560,2017,2017,2022/09/04,2022/08/19,,,read,,,,1,0
28183825,"Babylon's Ashes (The Expanse, #6)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.24,Orbit,Kindle Edition,448,2016,2016,2022/08/17,2022/08/06,,,read,,,,1,0
